Location,Mass,Sex,Shell Length
sbarb,326.756,F,136.16
sbarb,92.216,F,93.84
sbarb,340.053,F,134.03
sbarb,98.104,F,100.1
sbarb,143.765,M,110.58
sbarb,61.596,M,83.5
sbarb,129.831,M,103.98
sbarb,55.243,M,83.87
sbarb,186.038,M,129.92
sbarb,68.154,M,87.35
sbarb,96.033,M,99.13
sbarb,391.223,F,133.68
sbarb,134.603,M,103.19
sbarb,140.623,F,108.97
sbarb,111.341,M,91.2
sbarb,207.171,M,130.03
sbarb,91.304,F,101.58
sbarb,150.325,M,103.59
sbarb,102.895,F,101.4
sbarb,123.548,M,103.18
sbarb,149.681,F,111.24
sbarb,116.954,M,99.71
sbarb,161.201,F,112.41
sbarb,114.723,F,109.32
sbarb,133.897,M,111.44
sbarb,232.698,M,123.49
sbarb,261.416,F,132.92
sbarb,61.709,M,88.88
sbarb,115.113,M,106.37
sbarb,129.802,M,109.96
sbarb,137.108,F,105.85
sbarb,152.77,F,102.18
sbarb,171.445,F,117.6
sbarb,143.02,M,114.35
sbarb,141.55,F,112.43
sbarb,186.204,M,117.65
sbarb,82.387,F,95.49
sbarb,258.064,F,132.12
sbarb,110.324,F,98.75
sbarb,175.464,M,128.98
sbarb,86.292,F,96.6
sbarb,209.867,M,119.31
sbarb,132.867,M,103.39
sbarb,282.365,M,128
sbarb,152.747,F,123.02
sbarb,243.147,M,136.06
sbarb,326.77,F,145.29
sbarb,389.045,F,152.64
sbarb,203.834,M,129.11
sbarb,89.27,M,97.46
sbarb,187.088,M,119.83
sbarb,155.3,F,109.63
sbarb,282.487,F,130
sbarb,68.832,F,85.15
sbarb,75.22,F,101.11
sbarb,96.766,F,104.02
sbarb,270.042,M,137.55
sbarb,218.198,M,122.34
sbarb,403.892,M,147.51
sbarb,318.387,F,145.97
sbarb,109.791,F,108.6
sbarb,160.295,M,107.79
sbarb,219.483,M,129.59
sbarb,221.168,F,130.56
sbarb,214.939,F,125.08
sbarb,223.637,F,na
sbarb,258.607,F,na
sbarb,340.858,F,na
sbarb,227.402,F,na
sbarb,144.165,F,111.99
sbarb,74.398,M,83.69
sbarb,129.183,M,102.5
sbarb,156.78,na,109.81
sbarb,280.691,na,126.29
sbarb,190.165,na,117.66
sbarb,192.853,F,121.72
sbarb,175.81,na,123.02
sbarb,257.989,F,131.3
sbarb,219.228,M,123.54
sbarb,195.318,M,117.53
sbarb,201.161,M,114.56
sbarb,171.657,F,114.07
sbarb,258.752,F,129.85
sbarb,177.754,M,103.07
sbarb,186.328,F,113.6
sbarb,213.961,M,124.59
sbarb,189.791,M,na
sbarb,174.487,F,na
sbarb,278.934,F,na
sbarb,153.351,F,na
sbarb,263.388,F,na
sbarb,380.695,F,na
sbarb,261.604,M,na
sbarb,292.303,F,na
sbarb,209.476,F,na
sbarb,216.249,F,na
sbarb,232.921,F,na
sbarb,177.127,F,na
sbarb,221.364,F,na
sbarb,245.475,F,na
sbarb,230.701,F,na
sbarb,282.214,F,na
sbarb,130.634,F,na
sbarb,119.567,F,na
sbarb,235.387,M,na
sbarb,276.138,na,na
sbarb,160.507,F,na
sbarb,255.902,F,na
sbarb,199.103,F,na
sbarb,176.279,M,na
sbarb,159.375,M,na
sbarb,95.976,F,na
sbarb,264.188,M,134.62
sbarb,133.761,M,105.34
sbarb,186.555,F,113.11
sbarb,163.583,F,116.35
sbarb,148.972,F,109.49
sbarb,110.454,F,101.32
sbarb,131.709,F,112
sbarb,279.071,F,144.84
sbarb,160.38,F,116.81
sbarb,267.812,F,139.58
sbarb,219.016,F,131.44
sbarb,233.432,F,134.16
sbarb,288.977,F,141.21
sbarb,191.943,F,118.52
sbarb,173.371,F,119.85
sbarb,255.461,F,145.71
sbarb,258.195,M,143.18
sbarb,231.929,F,127.52
sbarb,168.51,M,118.58
sbarb,370.8,F,155.28
sbarb,198.35,M,121.87
sbarb,230.43,F,129.47
sbarb,188.8,F,124.86
sbarb,135.64,F,110.88
sbarb,239.64,F,137.63
sbarb,166.1,M,118.7
sbarb,134.13,M,110.69
sbarb,143.2,F,119.75
sbarb,226.79,F,128.99
sbarb,232.563,F,128.55
sbarb,156.443,F,117.8
